OID_,FID_WCSHP,FID_1,COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng,FID_WorldCup_XYTableToPoint1,National_Team,Number,POS,PLAYER_NAME,FIRST_NAME_S_,LAST_NAME_S_,NAME_ON_SHIRT,DOB,CLUB,HEIGHT__CM_,Birth,birth_lat,birth_long
202,200,200,Senegal,SN,Senegal,SN,31.01094678,639,Senegal,16,Midfielder,CISS Pathe,Ismaila Pathe,CISS,PATHE,3/16/1994 0:00,Rayo Vallecano (ESP),186,"Dakar, Senegal",14.716677,-17.4676861
203,200,200,Senegal,SN,Senegal,SN,31.01094678,647,Senegal,24,Midfielder,NDIAYE Mamadou Loum,Mamadou Loum,NDIAYE,LOUM NDIAYE,12/30/1996 0:00,Reading FC (ENG),193,"Dakar, Senegal",14.716677,-17.4676861
204,200,200,Senegal,SN,Senegal,SN,31.01094678,635,Senegal,12,Defender,CISSE Pape Abou,Pape Abou,CISSE,PAPE ABOU,9/14/1995 0:00,Olympiacos Piraeus FC (GRE),192,"Pikine, Senegal",14.7589446,-17.3937536
205,200,200,Senegal,SN,Senegal,SN,31.01094678,643,Senegal,20,Forward,DIENG Bamba,Cheikh Ahmadou Bamba Mbacke,DIENG,BAMBA,3/23/2000 0:00,Olympique Marseille (FRA),178,"Pikine, Senegal",14.7589446,-17.3937536
206,216,216,Sudan,SD,Sudan,SD,65.28249059,584,Qatar,13,Defender,MUSAAB KHIDIR,Musaab Khidir K,MOHAMED,MUSAAB,1/1/1993 0:00,Al Sadd SC (QAT),176,"Khartoum, Sudan",15.5006544,32.5598994
207,216,216,Sudan,SD,Sudan,SD,65.28249059,590,Qatar,19,Forward,ALMOEZ ALI,Almoez Ali Zainelabdeen M,ABDULLA,ALMOEZ,8/19/1996 0:00,Al Duhail SC (QAT),180,"Khartoum, Sudan",15.5006544,32.5598994
208,200,200,Senegal,SN,Senegal,SN,31.01094678,641,Senegal,18,Forward,SARR Ismaila,Ismaila,SARR,I SARR,2/25/1998 0:00,Watford FC (ENG),175,"Saint-Louis, Senegal",16.0326307,-16.4818167
209,200,200,Senegal,SN,Senegal,SN,31.01094678,642,Senegal,19,Forward,DIEDHIOU Famara,Famara,DIEDHIOU,DIEDHIOU,12/15/1992 0:00,Alanyaspor (TUR),192,"Saint-Louis, Senegal",16.0326307,-16.4818167
210,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,613,Saudi Arabia,16,Midfielder,SAMI ALNAJI,Sami Khalil N,ALNAJI,SAMI,2/7/1997 0:00,Al Nassr FC (KSA),176,"Jizan, Saudi Arabia",16.8893586,42.5705674
211,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,598,Saudi Arabia,1,Goalkeeper,MOHAMMED ALYAMI,Mohammed Faraj S,ALYAMI,ALYAMI,8/14/1997 0:00,Al Ahli SC (KSA),190,"Najran, Saudi Arabia",17.5656036,44.2289441
212,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,602,Saudi Arabia,5,Defender,ALI ALBULAYHI,Ali Hadi M,AL BULAYHI,ALBULAYHI,11/21/1989 0:00,Al Hilal SFC (KSA),182,"Najran, Saudi Arabia",17.5656036,44.2289441
213,144,144,Mexico,MX,Mexico,MX,149.3310928,464,Mexico,23,Defender,GALLARDO Jesus,Jesus Daniel,GALLARDO VASCONCELOS,J. GALLARDO,8/15/1994 0:00,CF Monterrey (MEX),174,"Cárdenas, Tabasco, Mexico",18.0012067,-93.3732339
214,113,113,Jamaica,JM,Jamaica,JM,5.385819543,270,England,10,Forward,STERLING Raheem,Raheem,STERLING,STERLING,12/8/1994 0:00,Chelsea FC (ENG),170,"Kingston, Jamaica",18.0178743,-76.8099041
215,144,144,Mexico,MX,Mexico,MX,149.3310928,458,Mexico,17,Forward,PINEDA Orbelin,Orbelin,PINEDA ALVARADO,O. PINEDA,3/24/1996 0:00,AEK Athens (GRE),169,"Coyuca de Catalán, Guerrero, Mexico",18.3301952,-100.7013332
216,144,144,Mexico,MX,Mexico,MX,149.3310928,465,Mexico,24,Midfielder,CHAVEZ Luis,Luis Gerardo,CHAVEZ MAGALLON,L. CHAVEZ,1/15/1996 0:00,CF Pachuca (MEX),178,"Cihuatlán, Jalisco, Mexico",19.2376572,-104.5684406
217,144,144,Mexico,MX,Mexico,MX,149.3310928,467,Mexico,26,Defender,ALVAREZ Kevin,Kevin Nahin,ALVAREZ CAMPOS,K. ALAVREZ,1/15/1999 0:00,CF Pachuca (MEX),176,"Colima, Mexico",19.2452342,-103.7240868
218,144,144,Mexico,MX,Mexico,MX,149.3310928,451,Mexico,10,Forward,VEGA Alexis,Ernesto Alexis,VEGA ROJAS,A. VEGA,11/25/1997 0:00,CD Guadalajara (MEX),175,"Mexico City, Mexico",19.4326077,-99.133208
219,144,144,Mexico,MX,Mexico,MX,149.3310928,463,Mexico,22,Forward,LOZANO Hirving,Hirving Rodrigo,LOZANO BAHENA,H. LOZANO,7/30/1995 0:00,SSC Napoli (ITA),176,"Mexico City, Mexico",19.4326077,-99.133208
220,144,144,Mexico,MX,Mexico,MX,149.3310928,445,Mexico,4,Defender,ALVAREZ Edson,Edson Omar,ALVAREZ VELAZQUEZ,E. ALVAREZ,10/24/1997 0:00,AFC Ajax (NED),180,"Tlalnepantla, Mexico",19.5345279,-99.1907364
221,144,144,Mexico,MX,Mexico,MX,149.3310928,450,Mexico,9,Forward,JIMENEZ Raul,Raul Alonso,JIMENEZ RODRIGUEZ,RAUL,5/5/1991 0:00,Wolverhampton Wanderers FC (ENG),188,"Tepeji, Hidalgo, Mexico",19.9114508,-99.3506604
222,144,144,Mexico,MX,Mexico,MX,149.3310928,442,Mexico,1,Goalkeeper,TALAVERA Alfredo,Alfredo,TALAVERA DIAZ,A. TALAVERA,9/18/1982 0:00,FC Juárez (MEX),188,"La Barca, Jalisco, Mexico",20.2906606,-102.5458219
223,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,607,Saudi Arabia,10,Forward,SALEM ALDAWSARI,Salem Mohammed S,ALDAWSARI,SALEM,8/19/1991 0:00,Al Hilal SFC (KSA),172,"	Wadi ad-Dawasir, Najd, Saudi Arabia",20.4492858,44.8501154
224,144,144,Mexico,MX,Mexico,MX,149.3310928,466,Mexico,25,Forward,ALVARADO Roberto,Roberto Carlos,ALVARADO HERNÁNDEZ,R. ALVARADO,9/7/1998 0:00,CD Guadalajara (MEX),176,"Salamanca, Guanajuato, Mexico",20.5739314,-101.1957172
225,144,144,Mexico,MX,Mexico,MX,149.3310928,443,Mexico,2,Defender,ARAUJO Nestor,Nestor Alejandro,ARAUJO RAZO,N. ARAUJO,8/29/1991 0:00,Club América (MEX),187,"Guadalajara, Jalisco, Mexico",20.6596988,-103.3496092
226,144,144,Mexico,MX,Mexico,MX,149.3310928,454,Mexico,13,Goalkeeper,OCHOA Guillermo,Francisco Guillermo,OCHOA MAGAÑA,G. OCHOA,7/13/1985 0:00,Club América (MEX),185,"Guadalajara, Jalisco, Mexico",20.6596988,-103.3496092
227,144,144,Mexico,MX,Mexico,MX,149.3310928,459,Mexico,18,Midfielder,GUARDADO Andres,Jose Andres,GUARDADO HERNANDEZ,A. GUARDADO,9/28/1986 0:00,Real Betis (ESP),167,"Guadalajara, Mexico",20.6596988,-103.3496092
228,144,144,Mexico,MX,Mexico,MX,149.3310928,447,Mexico,6,Defender,ARTEAGA Gerardo,Gerardo Daniel,ARTEAGA ZAMORA,G. ARTEAGA,9/7/1998 0:00,KRC Genk (BEL),175,"Zapopan, Jalisco, Mexico",20.6719563,-103.416501
229,144,144,Mexico,MX,Mexico,MX,149.3310928,461,Mexico,20,Forward,MARTIN Henry,Henry Josue,MARTIN MEX,H. MARTIN,11/18/1992 0:00,Club América (MEX),180,"Mérida, Yucatán, Mexico",20.9673702,-89.5925857
230,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,601,Saudi Arabia,4,Defender,ABDULELAH ALAMRI,Abdulelah Ali A,ALAMRI,ALAMRI,1/15/1997 0:00,Al Nassr FC (KSA),185,"Ta'if, Saudi Arabia",21.2840782,40.4248192
231,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,605,Saudi Arabia,8,Midfielder,ABDULELAH ALMALKI,Abdulelah Saad H,ALMALKI,ALMALKI,10/11/1994 0:00,Al Hilal SFC (KSA),176,"Ta'if, Saudi Arabia",21.2840782,40.4248192
232,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,600,Saudi Arabia,3,Defender,ABDULLAH MADU,Abdullah Mohammed M,MADU,MADU,7/15/1993 0:00,Al Nassr FC (KSA),187,"Mecca, Saudi Arabia",21.3890824,39.8579118
233,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,608,Saudi Arabia,11,Forward,SALEH ALSHEHRI,Saleh Khalid M,ALSHEHRI,SALEH,11/1/1993 0:00,Al Hilal SFC (KSA),184,"Jeddah, Saudi Arabia",21.485811,39.1925048
234,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,609,Saudi Arabia,12,Defender,SAUD ABDULHAMID,Saud Abdullah S,ABDULHAMID,SAUD,7/18/1999 0:00,Al Hilal SFC (KSA),171,"Jeddah, Saudi Arabia",21.485811,39.1925048
235,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,616,Saudi Arabia,19,Forward,HATAN BAHBRI,Hatan Sultan A,BAHBRI,HATAN,7/16/1992 0:00,Al Shabab FC (KSA),172,"Jeddah, Saudi Arabia",21.485811,39.1925048
236,144,144,Mexico,MX,Mexico,MX,149.3310928,453,Mexico,12,Goalkeeper,COTA Rodolfo,Rodolfo,COTA ROBLES,R. COTA,7/3/1987 0:00,Club León (MEX),188,"Mazatlán, Sinaloa, Mexico",23.2494148,-106.4111425
237,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,604,Saudi Arabia,7,Midfielder,SALMAN ALFARAJ,Salman Mohammed M,ALFARAJ,SALMAN,8/1/1989 0:00,Al Hilal SFC (KSA),180,"Medina, Saudi Arabia",24.5246542,39.5691841
238,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,603,Saudi Arabia,6,Defender,MOHAMMED ALBURAYK,Mohammed Ibrahim M,ALBURAYK,ALBURAYK,9/15/1992 0:00,Al Hilal SFC (KSA),173,"Riyadh, Saudi Arabia",24.7135517,46.6752957
239,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,606,Saudi Arabia,9,Forward,FERAS ALBRIKAN,Feras Tariq N,ALBRIKAN,FERAS,5/14/2000 0:00,Al Fateh SC (KSA),181,"Riyadh, Saudi Arabia",24.7135517,46.6752957
240,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,611,Saudi Arabia,14,Midfielder,ABDULLAH OTAYF,Abdullah Ibrahim Y,OTAYF,OTAYF,8/3/1992 0:00,Al Hilal SFC (KSA),177,"Riyadh, Saudi Arabia",24.7135517,46.6752957
241,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,614,Saudi Arabia,17,Defender,HASSAN ALTAMBAKTI,Hassan Mohammed O,ALTAMBAKTI,ALTAMBAKTI,2/9/1999 0:00,Al Shabab FC (KSA),182,"Riyadh, Saudi Arabia",24.7135517,46.6752957
242,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,615,Saudi Arabia,18,Midfielder,NAWAF ALABID,Nawaf Shaker F,ALABID,NAWAF,1/26/1990 0:00,Al Shabab FC (KSA),169,"Riyadh, Saudi Arabia",24.7135517,46.6752957
243,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,619,Saudi Arabia,22,Goalkeeper,NAWAF ALAQIDI,Nawaf Dhahi F,ALAQIDI,ALAQIDI,5/10/2000 0:00,Al Nassr FC (KSA),186,"Riyadh, Saudi Arabia",24.7135517,46.6752957
244,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,621,Saudi Arabia,24,Midfielder,NASSER ALDAWSARI,Nasser Essa S,ALDAWSARI,NASSER,12/19/1998 0:00,Al Hilal SFC (KSA),178,"Riyadh, Saudi Arabia",24.7135517,46.6752957
245,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,622,Saudi Arabia,25,Forward,HAITHAM ASIRI,Haitham Mohammed A,ASIRI,HAITHAM,3/25/2001 0:00,Al Ahli SC (KSA),173,"Riyadh, Saudi Arabia",24.7135517,46.6752957
246,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,623,Saudi Arabia,26,Midfielder,RIYADH SHARAHILI,Riyadh Mohammed M,SHARAHILI,RIYADH,4/28/1993 0:00,Abha Club (KSA),184,"Riyadh, Saudi Arabia",24.7135517,46.6752957
247,144,144,Mexico,MX,Mexico,MX,149.3310928,456,Mexico,15,Defender,MORENO Hector,Hector Alfredo,MORENO HERRERA,H. MORENO,1/17/1988 0:00,CF Monterrey (MEX),182,"Culiacán, Sinaloa, Mexico",24.8090649,-107.3940117
248,182,182,Qatar,QA,Qatar,QA,4.789811117,595,Qatar,24,Midfielder,NAIF ALHADHRAMI,Naif Abdulraheem O,ALHADHRAMI,NAYEF,7/18/2001 0:00,Al Rayyan SC (QAT),180,"Al-Rayyan, Qatar",24.9966876,51.0540674
249,182,182,Qatar,QA,Qatar,QA,4.789811117,576,Qatar,5,Defender,TAREK SALMAN,Tarek Salman S,SALMAN,TAREK,12/5/1997 0:00,Al Sadd SC (QAT),179,"Al Wakrah, Qatar",25.1659314,51.5975524
250,182,182,Qatar,QA,Qatar,QA,4.789811117,572,Qatar,1,Goalkeeper,SAAD ALSHEEB,Saad Abdulla M E,ALSHEEB,ALSHEEB,2/19/1990 0:00,Al Sadd SC (QAT),188,"Doha, Qatar",25.2854473,51.5310398
251,182,182,Qatar,QA,Qatar,QA,4.789811117,574,Qatar,3,Midfielder,ABDELKARIM HASSAN,Abdelkarim Hassan A,FADLALLA,ABDELKARIM,8/28/1993 0:00,Al Sadd SC (QAT),185,"Doha, Qatar",25.2854473,51.5310398
252,182,182,Qatar,QA,Qatar,QA,4.789811117,577,Qatar,6,Midfielder,ABDULAZIZ HATEM,Abdelaziz Hatim A,MOHAMED,A. HATEM,1/1/1990 0:00,Al Rayyan SC (QAT),182,"Doha, Qatar",25.2854473,51.5310398
253,182,182,Qatar,QA,Qatar,QA,4.789811117,581,Qatar,10,Midfielder,HASSAN ALHAYDOS,Hasan Khalid H,ALHAYDOS,ALHAYDOS,12/11/1990 0:00,Al Sadd SC (QAT),174,"Doha, Qatar",25.2854473,51.5310398
254,182,182,Qatar,QA,Qatar,QA,4.789811117,582,Qatar,11,Forward,AKRAM AFIF,Akram Hassan A Y,AFIF,AFIF,11/18/1996 0:00,Al Sadd SC (QAT),176,"Doha, Qatar",25.2854473,51.5310398
255,182,182,Qatar,QA,Qatar,QA,4.789811117,585,Qatar,14,Defender,HOMAM AHMED,Homam Elamin M,AHMED,HOMAM,8/25/1999 0:00,Al Gharafa SC (QAT),188,"Doha, Qatar",25.2854473,51.5310398
256,182,182,Qatar,QA,Qatar,QA,4.789811117,588,Qatar,17,Defender,ISMAIL MOHAMAD,Ismail Mohamad M,B,ISMAIL M.,4/5/1990 0:00,Al Duhail SC (QAT),172,"Doha, Qatar",25.2854473,51.5310398
257,182,182,Qatar,QA,Qatar,QA,4.789811117,589,Qatar,18,Forward,KHALID MUNEER,Khalid Muneer A A,MAZEED,K. MUNEER,2/24/1998 0:00,Al Wakrah SC (QAT),174,"Doha, Qatar",25.2854473,51.5310398
258,182,182,Qatar,QA,Qatar,QA,4.789811117,591,Qatar,20,Midfielder,SALEM ALHAJRI,Salem Ali S S,AL-HAJRI,SALEM,4/10/1996 0:00,Al Sadd SC (QAT),183,"Doha, Qatar",25.2854473,51.5310398
259,182,182,Qatar,QA,Qatar,QA,4.789811117,592,Qatar,21,Goalkeeper,YOUSOF HASSAN,Yousof Hassan M,ALI,YOUSOF,5/24/1996 0:00,Al Gharafa SC (QAT),186,"Doha, Qatar",25.2854473,51.5310398
260,182,182,Qatar,QA,Qatar,QA,4.789811117,593,Qatar,22,Goalkeeper,MESHAAL BARSHAM,Meshaal Aissa M,BARSHAM,BARSHAM,2/14/1998 0:00,Al Sadd SC (QAT),180,"Doha, Qatar",25.2854473,51.5310398
261,182,182,Qatar,QA,Qatar,QA,4.789811117,594,Qatar,23,Midfielder,ASSIM MADIBO,Assim Omer A,MADIBO,MADIBO,10/22/1996 0:00,Al Duhail SC (QAT),168,"Doha, Qatar",25.2854473,51.5310398
262,182,182,Qatar,QA,Qatar,QA,4.789811117,596,Qatar,25,Midfielder,JASSEM GABER,Jassem Gaber E,ABDULSALLAM,JASSEM,2/20/2002 0:00,Al Arabi SC (QAT),182,"Doha, Qatar",25.2854473,51.5310398
263,182,182,Qatar,QA,Qatar,QA,4.789811117,597,Qatar,26,Midfielder,MOUSTAFA TAREK,Moustafa Tarek M M,MASHAL,MUSTAFA,3/28/2001 0:00,Al Sadd SC (QAT),174,"Doha, Qatar",25.2854473,51.5310398
264,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,612,Saudi Arabia,15,Midfielder,ALI ALHASSAN,Ali Sadiq N,ALHASSAN,ALHASSAN,3/4/1997 0:00,Al Nassr FC (KSA),182,"Al-Hasa, Saudi Arabia",25.380026,49.5887652
265,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,618,Saudi Arabia,21,Goalkeeper,MOHAMMED ALOWAIS,Mohammed Khalil I,ALOWAIS,ALOWAIS,10/10/1991 0:00,Al Hilal SFC (KSA),185,"Al-Hasa, Saudi Arabia",25.380026,49.5887652
266,144,144,Mexico,MX,Mexico,MX,149.3310928,460,Mexico,19,Defender,SANCHEZ Jorge,Jorge Eduardo,SANCHEZ RAMOS,J. SANCHEZ,12/10/1997 0:00,AFC Ajax (NED),170,"Torreón, Coahuila, Mexico",25.5428443,-103.4067861
267,144,144,Mexico,MX,Mexico,MX,149.3310928,462,Mexico,21,Forward,ANTUNA Uriel,Carlos Uriel,ANTUNA ROMERO,U. ANTUNA,8/21/1997 0:00,Cruz Azul (MEX),167,"Gómez Palacio, Durango, Mexico",25.5891476,-103.485862
268,144,144,Mexico,MX,Mexico,MX,149.3310928,449,Mexico,8,Midfielder,RODRIGUEZ Carlos,Carlos Alberto,RODRIGUEZ GOMEZ,C. RODRIGUEZ,1/3/1997 0:00,Cruz Azul (MEX),170,"San Nicolás de los Garza, Nuevo León, Mexico",25.7493469,-100.2868973
269,144,144,Mexico,MX,Mexico,MX,149.3310928,448,Mexico,7,Midfielder,ROMO Luis,Luis Francisco,ROMO BARRON,L. ROMO,6/5/1995 0:00,CF Monterrey (MEX),183,"Ahome, Sinaloa, Mexico",25.9197727,-109.1746261
270,144,144,Mexico,MX,Mexico,MX,149.3310928,455,Mexico,14,Midfielder,GUTIERREZ Erick,Erick Gabriel,GUTIERREZ GALAVIZ,E. GUTIERREZ,6/15/1995 0:00,PSV Eindhoven (NED),176,"Ahome, Sinaloa, Mexico",25.9197727,-109.1746261
271,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,620,Saudi Arabia,23,Midfielder,MOHAMED KANNO,Mohammed Ibrahim A,KANNO,KANNO,9/22/1994 0:00,Al Hilal SFC (KSA),192,"Khobar, Saudi Arabia",26.2171906,50.1971381
272,18,18,Bahrain,BH,Bahrain,BH,1.653725953,579,Qatar,8,Midfielder,ALI ASAD,Ali Asadalla Q B,THAIMN,ALI,1/19/1993 0:00,Al Sadd SC (QAT),174,"Manama, Bahrain",26.2235305,50.5875935
273,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,599,Saudi Arabia,2,Defender,SULTAN ALGHANNAM,Sultan Abdullah S,ALGHANNAM,SULTAN,5/6/1994 0:00,Al Nassr FC (KSA),173,"Al Zulfi, Saudi Arabia",26.3098543,44.831834
274,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,610,Saudi Arabia,13,Defender,YASSER ALSHAHRANI,Yasir Gharsan S,ALSHAHRANI,YASSER,5/25/1992 0:00,Al Hilal SFC (KSA),171,"Dammam, Saudi Arabia",26.4206828,50.0887943
275,199,199,Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,617,Saudi Arabia,20,Forward,ABDULRAHMAN ALOBUD,Abdulrahman Ali H,ALOBUD,ALOBUD,6/1/1995 0:00,Al Ittihad FC (KSA),174,"Dammam, Saudi Arabia",26.4206828,50.0887943
276,68,68,Egypt,EG,Egypt,EG,53.23047693,47,Australia,21,Forward,KUOL Garang,Garang,MAWIEN KUOL,KUOL,9/15/2004 0:00,Central Coast Mariners FC (AUS),175,Egypt,26.820553,30.802498
277,144,144,Mexico,MX,Mexico,MX,149.3310928,446,Mexico,5,Defender,VASQUEZ Johan,Johan Felipe,VASQUEZ IBARRA,J. VASQUEZ,10/22/1998 0:00,US Cremonese (ITA),182,"Navojoa, Sonora, Mexico",27.0727573,-109.4437493
278,214,214,Spain,ES,Spain,ES,51.72495637,692,Spain,17,Forward,PINO Yeremy,Yeremy Jesús,PINO SANTOS,YEREMY,10/20/2002 0:00,Villarreal CF (ESP),172,"Las Palmas, Spain",28.1008837,-15.4653897
279,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,373,Iran,9,Forward,TAREMI Mehdi,Mehdi,TAREMI,TAREMI,7/18/1992 0:00,FC Porto (POR),185,"Bushehr, Iran",28.9144913,50.8279019
280,144,144,Mexico,MX,Mexico,MX,149.3310928,444,Mexico,3,Defender,MONTES Cesar,Cesar Jasib,MONTES CASTRO,C. MONTES,2/24/1997 0:00,CF Monterrey (MEX),191,"Hermosillo, Sonora, Mexico",29.0729673,-110.9559192
281,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,388,Iran,24,Goalkeeper,HOSSEINI Hossein,Seyedhossein,HOSSEINI,H. HOSSEINI,6/30/1992 0:00,Esteghlal Tehran FC (IRN),187,"Shiraz, Iran",29.5926119,52.5835646
282,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,377,Iran,13,Defender,KANANI Hossein,Mohammadhossein,KANANI ZADEGAN,KANANI,3/23/1994 0:00,Al Ahli SC (QAT),188,"Bandar-e Mahshahr, Iran",30.5549969,49.187884
283,68,68,Egypt,EG,Egypt,EG,53.23047693,578,Qatar,7,Forward,AHMED ALAAELDIN,Ahmed Alaaeldin B M,ABDELMOTAAL,ALAADIN,1/31/1993 0:00,Al Gharafa SC (QAT),176,"Ismailia, Egypt",30.5964923,32.2714587
284,151,151,Morocco,MA,Morocco,MA,56.10325661,478,Morocco,11,Forward,SABIRI Abdelhamid,Abdelhamid,SABIRI,SABIRI,11/28/1996 0:00,UC Sampdoria (ITA),186,"Goulmima, Morocco",31.6891751,-4.9574947
285,151,151,Morocco,MA,Morocco,MA,56.10325661,476,Morocco,9,Forward,HAMDALLAH Abderrazak,Abderrazzaq,HAMED-ALLAH,HAMEDALLAH,12/17/1990 0:00,Al Ittihad FC (KSA),179,"Safi, Morocco",32.3008151,-9.2272033
286,151,151,Morocco,MA,Morocco,MA,56.10325661,492,Morocco,25,Defender,ATTIAT-ALLAH Yahya,Yahya,ATTIAT-ALLAH EL IDRISSI,ATTIAT-ALLAH,3/2/1995 0:00,Wydad Casablanca (MAR),176,"Safi, Morocco",32.3008151,-9.2272033
287,151,151,Morocco,MA,Morocco,MA,56.10325661,483,Morocco,16,Forward,EZ Abde,Abdessamad,EZZALZOULI,EZZALZOULI,12/17/2001 0:00,CA Osasuna (ESP),177,"Beni Mellal, Morocco",32.342443,-6.375799
288,144,144,Mexico,MX,Mexico,MX,149.3310928,457,Mexico,16,Midfielder,HERRERA Hector,Hector Miguel,HERRERA LOPEZ,H. HERRERA,4/19/1990 0:00,Houston Dynamo (USA),180,"Tijuana, Baja California, Mexico",32.5149469,-117.0382471
289,180,180,Portugal,PT,Portugal,PT,19.45369559,552,Portugal,7,Forward,CRISTIANO RONALDO,Cristiano Ronaldo,DOS SANTOS AVEIRO,RONALDO,2/5/1985 0:00,Manchester United FC (ENG),185,"Funchal, Madeira, Portugal",32.6506129,-16.9082357
290,239,238,United States,US,United States,US,726.1060557,793,USA,14,Midfielder,DE LA TORRE Luca,Lucas Daniel,DE LA TORRE,DE LA TORRE,5/23/1998 0:00,RC Celta Vigo (ESP),178,"San Diego, California, United States",32.715738,-117.1610838
291,114,114,Japan,JP,Japan,JP,118.0531012,411,Japan,22,Defender,YOSHIDA Maya,Maya,YOSHIDA,YOSHIDA,8/24/1988 0:00,FC Schalke 04 (GER),189,"Nagasaki, Japan",32.7503334,129.8778888
292,114,114,Japan,JP,Japan,JP,118.0531012,392,Japan,3,Defender,TANIGUCHI Shogo,Shogo,TANIGUCHI,TANIGUCHI,7/15/1991 0:00,Kawasaki Frontale (JPN),183,"Kumamoto, Kumamoto, Japan",32.8032164,130.7079369
293,151,151,Morocco,MA,Morocco,MA,56.10325661,485,Morocco,18,Defender,EL YAMIQ Jawad,Jawad,EL-YAMIQ,EL-YAMIQ,2/29/1992 0:00,Real Valladolid CF (ESP),193,"Khouribga, Morocco",32.886023,-6.9208655
294,151,151,Morocco,MA,Morocco,MA,56.10325661,493,Morocco,26,Midfielder,JABRANE Yahya,Yahya,JABRANE,JABRANE,6/18/1991 0:00,Wydad Casablanca (MAR),183,"Settat, Morocco",32.9924242,-7.6222665
295,239,238,United States,US,United States,US,726.1060557,802,USA,23,Midfielder,ACOSTA Kellyn,Kellyn Kai,PERRY-ACOSTA,ACOSTA,7/24/1995 0:00,Los Angeles FC (USA),177,"Plano, Texas, United States",33.0198431,-96.6988856
296,108,108,Iraq,IQ,Iraq,IQ,33.62001492,575,Qatar,4,Defender,MOHAMMED WAAD,Mohammed Waad A,ALBAYATI,WAAD,9/18/1999 0:00,Al Sadd SC (QAT),183,"Baghdad, Iraq",33.315241,44.3660671
297,108,108,Iraq,IQ,Iraq,IQ,33.62001492,586,Qatar,15,Defender,BASSAM ALRAWI,Bassam Husham A,ALRAWI,BASSAM,12/16/1997 0:00,Al Duhail SC (QAT),175,"Baghdad, Iraq",33.315241,44.3660671
298,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,365,Iran,1,Goalkeeper,BEIRANVAND Alireza,Ali Reza,SAFARBEIRANVAND,ALIREZA BEIRANVAND,9/21/1992 0:00,Perspolis Tehran (IRN),194,"Sarab-e Yas, Khorramabad, Iran",33.430291,48.3427034
299,230,230,Tunisia,TN,Tunisia,TN,25.01430184,738,Tunisia,11,Forward,KHENISSI Taha Yassine,Taha Yassine,KHENISSI,KHENISSI,1/6/1992 0:00,Al Kuwait SC (KUW),180,"Zarzis, Tunisia",33.5041035,11.0881494
300,151,151,Morocco,MA,Morocco,MA,56.10325661,475,Morocco,8,Midfielder,OUNAHI Azzedine,Azz-Eddine,OUNAHI,OUNAHI,4/19/2000 0:00,Angers SCO (FRA),182,"Casablanca, Morocco",33.5731104,-7.5898434
301,151,151,Morocco,MA,Morocco,MA,56.10325661,487,Morocco,20,Defender,DARI Achraf,Achraf,DARI,DARI,5/6/1999 0:00,Stade Brest (FRA),190,"Casablanca, Morocco",33.5731104,-7.5898434
302,151,151,Morocco,MA,Morocco,MA,56.10325661,491,Morocco,24,Defender,BENOUN Badr,Badr,BENOUN,BENOUN,9/30/1993 0:00,Qatar SC (QAT),188,"Casablanca, Morocco",33.5731104,-7.5898434
303,114,114,Japan,JP,Japan,JP,118.0531012,405,Japan,16,Defender,TOMIYASU Takehiro,Takehiro,TOMIYASU,TOMIYASU,11/5/1998 0:00,Arsenal FC (ENG),187,"Fukuoka, Japan",33.5901838,130.4016888
