OID_,FID_WorldCup_XYTableToPoint1,National_Team,Number,POS,PLAYER_NAME,FIRST_NAME_S_,LAST_NAME_S_,NAME_ON_SHIRT,DOB,CLUB,HEIGHT__CM_,Birth,birth_lat,birth_long,FID_WCSHP,FID_1,COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng
93,84,Brazil,6,Defender,Alex Sandro,Alex Sandro,LOBO SILVA,ALEX SANDRO,1/26/1991 0:00,Juventus FC (ITA),180,"Catanduva, São Paulo, Brazil",-21.1374204,-48.973923,32,32,Brazil,BR,Brazil,BR,248.7567149
94,92,Brazil,14,Defender,Eder Militao,Éder Gabriel,MILITÃO,E. MILITÃO,1/18/1998 0:00,Real Madrid CF (ESP),186,"Sertãozinho, São Paulo, Brazil",-21.1323761,-47.9945265,32,32,Brazil,BR,Brazil,BR,248.7567149
95,86,Brazil,8,Midfielder,Fred,Frederico,RODRIGUES DE PAULA SANTOS,FRED,3/5/1993 0:00,Manchester United FC (ENG),169,"Belo Horizonte, Brazil",-19.919052,-43.9386685,32,32,Brazil,BR,Brazil,BR,248.7567149
96,87,Brazil,9,Forward,Richarlison,Richarlison,DE ANDRADE,RICHARLISON,5/10/1997 0:00,Tottenham Hotspur FC (ENG),184,"Nova Venécia, Espírito Santo, Brazil",-18.7084516,-40.3955098,32,32,Brazil,BR,Brazil,BR,248.7567149
97,102,Brazil,24,Defender,Bremer,Gleison Bremer,SILVA NASCIMENTO,BREMER,3/18/1997 0:00,Juventus FC (ITA),188,"Itapitanga, Brazil",-14.4214383,-39.5673464,32,32,Brazil,BR,Brazil,BR,248.7567149
98,90,Brazil,12,Goalkeeper,Weverton,Weverton,PEREIRA DA SILVA,WEVERTON,12/13/1987 0:00,SE Palmeiras (BRA),189,"Rio Branco, Acre, Brazil",-9.9740249,-67.8098191,32,32,Brazil,BR,Brazil,BR,248.7567149
99,548,Portugal,3,Defender,Pepe,Kepler Laveran,DE LIMA FERREIRA,PEPE,2/26/1983 0:00,FC Porto (POR),188,"Maceió, Brazil",-9.6660417,-35.7352167,32,32,Brazil,BR,Brazil,BR,248.7567149
100,91,Brazil,13,Defender,Dani Alves,Daniel,ALVES DA SILVA,DANI ALVES,5/6/1983 0:00,Pumas UNAM (MEX),172,"Juazeiro, Bahia, Brazil",-9.4312697,-40.5078709,32,32,Brazil,BR,Brazil,BR,248.7567149
102,570,Portugal,25,Midfielder,Otavio,Otávio Edmilson,DA SILVA MONTEIRO,OTÁVIO,2/9/1995 0:00,FC Porto (POR),172,"João Pessoa, Brazil",-7.1188352,-34.8814339,32,32,Brazil,BR,Brazil,BR,248.7567149
146,145,Canada,15,Midfielder,Kone Ismael,Ismael Kenneth Jordan,KONE,KONE,6/16/2002 0:00,CF Montréal (CAN),188,"Abidjan, Ivory Coast",5.3599517,-4.0082563,57,57,Côte d'Ivoire,CI,Côte d'Ivoire,CI,31.57675156
159,299,France,13,Defender,Fofana Youssouf,Youssouf,FOFANA,FOFANA,1/10/1999 0:00,AS Monaco (FRA),178,"Divo, Ivory Coast",5.8415399,-5.3625516,57,57,Côte d'Ivoire,CI,Côte d'Ivoire,CI,31.57675156
131,106,Cameroon,2,Defender,Ngom Mbekeli Jerome,Jerome,NGOM MBEKELI,NGOM,9/30/1998 0:00,Colombe Sportive (CMR),174,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
132,107,Cameroon,3,Defender,Nkoulou Nicolas,Nicolas Julio,NKOULOU NDOUBENA,NKOULOU,3/27/1990 0:00,Aris Thessaloniki FC (GRE),185,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
133,109,Cameroon,5,Midfielder,Ondoua Gael,Gael,BELLA ONDOUA,ONDOUA,11/4/1995 0:00,Hannover 96 (GER),185,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
134,110,Cameroon,6,Forward,Moumi Ngamaleu Nicolas,Nicolas Brice,MOUMI NGAMALEU,NGAMALEU,7/9/1994 0:00,FC Dynamo Moscow (RUS),181,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
135,112,Cameroon,8,Midfielder,Zambo Anguissa Andre-frank,Andre Frank,ZAMBO ANGUISSA,ANGUISSA,11/16/1995 0:00,SSC Napoli (ITA),184,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
136,114,Cameroon,10,Forward,Aboubakar Vincent,Vincent,ABOUBAKAR,ABOUBAKAR,1/22/1992 0:00,Al Nassr FC (KSA),176,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
137,122,Cameroon,18,Midfielder,Hongla Martin,Martin,HONGLA YMA II,HONGLA,3/16/1998 0:00,Hellas Verona FC (ITA),182,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
138,338,Germany,26,Forward,Moukoko Youssoufa,Youssoufa,MOUKOKO,MOUKOKO,11/20/2004 0:00,Borussia Dortmund (GER),179,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
139,708,Switzerland,7,Forward,Embolo Breel,Breel Donald,EMBOLO,EMBOLO,2/14/1997 0:00,AS Monaco (FRA),184,"Yaoundé, Cameroon",3.8480325,11.5020752,41,41,Cameroon,CM,Cameroon,CM,41.96059557
140,118,Cameroon,14,Midfielder,Oum Gouet Samuel,Samuel Yves,OUM GOUET,OUM,12/14/1997 0:00,KV Mechelen (BEL),185,"Ayos, Cameroon",3.9056609,12.5269347,41,41,Cameroon,CM,Cameroon,CM,41.96059557
141,119,Cameroon,15,Midfielder,Kunde Pierre,Pierre,KUNDE MALONG,KUNDE MALONG,7/26/1995 0:00,Olympiacos Piraeus FC (GRE),180,"Limbe, Cameroon",4.0224656,9.1954432,41,41,Cameroon,CM,Cameroon,CM,41.96059557
142,113,Cameroon,9,Forward,Nsame Jean-pierre,Jean Pierre Junior,NSAME,NSAME,5/1/1993 0:00,BSC Young Boys (SUI),188,"Douala, Cameroon",4.0510564,9.7678687,41,41,Cameroon,CM,Cameroon,CM,41.96059557
143,115,Cameroon,11,Forward,Bassogog Christian,Christian,MOUGANG BASSOGOG,BASSOGOG,10/18/1995 0:00,Shanghai Shenhua FC (CHN),178,"Douala, Cameroon",4.0510564,9.7678687,41,41,Cameroon,CM,Cameroon,CM,41.96059557
144,121,Cameroon,17,Defender,Mbaizo Olivier,Olivier,MBAISSIDARA MBAIZO,MBAIZO,8/15/1997 0:00,Philadelphia Union (USA),178,"Douala, Cameroon",4.0510564,9.7678687,41,41,Cameroon,CM,Cameroon,CM,41.96059557
145,129,Cameroon,25,Defender,Nouhou Tolo,Tolo,NOUHOU,NOUHOU,6/23/1997 0:00,Seattle Sounders FC (USA),178,"Douala, Cameroon",4.0510564,9.7678687,41,41,Cameroon,CM,Cameroon,CM,41.96059557
157,105,Cameroon,1,Goalkeeper,Ngapandouetnbu Simon,Simon Brady,NGAPANDOUETNBU,NGAPANDOUETNBU,4/12/2003 0:00,Olympique Marseille (FRA),186,"Foumban, Cameroon",5.7204203,10.901604,41,41,Cameroon,CM,Cameroon,CM,41.96059557
161,123,Cameroon,19,Defender,Fai Collins,Ngoran Suiru,FAI COLLINS,FAI,8/13/1992 0:00,Al Tai FC (KSA),165,"Bamenda, Cameroon",5.9630513,10.1591213,41,41,Cameroon,CM,Cameroon,CM,41.96059557
166,127,Cameroon,23,Goalkeeper,Onana Andre,Andre,ONANA ONANA,ONANA,4/2/1996 0:00,FC Internazionale (ITA),190,"Nkol Ngok, Cameroon",7.369722,12.354722,41,41,Cameroon,CM,Cameroon,CM,41.96059557
168,130,Cameroon,26,Midfielder,Marou Souaibou,Souaibou,MAROU,SOUAIBOU,12/3/2000 0:00,Coton Sport FC (CMR),180,"Garoua, Cameroon",9.3226016,13.393389,41,41,Cameroon,CM,Cameroon,CM,41.96059557
460,137,Canada,7,Midfielder,Eustaquio Stephen,Stephen,EUSTÁQUIO,EUSTAQUIO,12/21/1996 0:00,FC Porto (POR),178,"Leamington, Canada",42.0531634,-82.5998874,42,42,Canada,CA,Canada,CA,2210.684826
488,135,Canada,5,Defender,Vitoria Steven,Steven,DE SOUSA VITÓRIA,VITORIA,1/11/1987 0:00,GD Chaves (POR),195,"Toronto, Canada",43.653226,-79.3831843,42,42,Canada,CA,Canada,CA,2210.684826
489,138,Canada,8,Midfielder,Fraser Liam,Liam Scott,FRASER,FRASER,2/13/1998 0:00,KMSR Deinze (BEL),185,"Toronto, Ontario, Canada",43.653226,-79.3831843,42,42,Canada,CA,Canada,CA,2210.684826
490,139,Canada,9,Forward,Cavallini Lucas,Lucas,CAVALLINI,CAVALLINI,12/28/1992 0:00,Vancouver Whitecaps FC (CAN),180,"Toronto, Ontario, Canada",43.653226,-79.3831843,42,42,Canada,CA,Canada,CA,2210.684826
491,144,Canada,14,Midfielder,Kaye Mark-anthony,Mark-Anthony,KAYE,KAYE,12/2/1994 0:00,Toronto FC (CAN),185,"Toronto, Ontario, Canada",43.653226,-79.3831843,42,42,Canada,CA,Canada,CA,2210.684826
492,151,Canada,21,Midfielder,Osorio Jonathan,Jonathan,OSORIO,OSORIO,6/12/1992 0:00,Toronto FC (CAN),175,"Toronto, Ontario, Canada",43.653226,-79.3831843,42,42,Canada,CA,Canada,CA,2210.684826
493,152,Canada,22,Defender,Laryea Richie,Richmond Mamah,LARYEA,LARYEA,1/7/1995 0:00,Toronto FC (CAN),175,"Toronto, Ontario, Canada",43.653226,-79.3831843,42,42,Canada,CA,Canada,CA,2210.684826
494,153,Canada,23,Midfielder,Millar Liam,Liam Alan,MILLAR,MILLAR,9/27/1999 0:00,FC Basel (SUI),176,"Toronto, Ontario, Canada",43.653226,-79.3831843,42,42,Canada,CA,Canada,CA,2210.684826
499,140,Canada,10,Midfielder,Hoilett Junior,David Wayne,HOILETT,HOILETT,6/5/1990 0:00,Reading FC (ENG),174,"Brampton, Ontario, Canada",43.7315479,-79.7624177,42,42,Canada,CA,Canada,CA,2210.684826
500,141,Canada,11,Forward,Buchanan Tajon,Tajon Trevor,BUCHANAN,BUCHANAN,2/8/1999 0:00,Club Brugge (BEL),183,"Brampton, Ontario, Canada",43.7315479,-79.7624177,42,42,Canada,CA,Canada,CA,2210.684826
501,143,Canada,13,Midfielder,Hutchinson Atiba,Atiba,HUTCHINSON,HUTCHINSON,2/8/1983 0:00,Besiktas JK (TUR),183,"Brampton, Ontario, Canada",43.7315479,-79.7624177,42,42,Canada,CA,Canada,CA,2210.684826
502,147,Canada,17,Forward,Larin Cyle,Cyle Christopher,LARIN,LARIN,4/17/1995 0:00,Club Brugge (BEL),188,"Brampton, Ontario, Canada",43.7315479,-79.7624177,42,42,Canada,CA,Canada,CA,2210.684826
503,134,Canada,4,Defender,Miller Kamal,Kamal Anthony,MILLER,MILLER,5/16/1997 0:00,CF Montréal (CAN),183,"Scarborough, Ontario, Canada",43.7764258,-79.2317521,42,42,Canada,CA,Canada,CA,2210.684826
504,131,Canada,1,Goalkeeper,St. Clair Dayne,Dayne Tristan,ST. CLAIR,ST. CLAIR,5/9/1997 0:00,Minnesota United FC (USA),191,"Pickering, Ontario, Canada",43.8384117,-79.0867579,42,42,Canada,CA,Canada,CA,2210.684826
505,155,Canada,25,Defender,Cornelius Derek,Derek Austin,CORNELIUS,CORNELIUS,11/25/1997 0:00,Panetolikos FC (GRE),186,"Ajax, Ontario, Canada",43.8508553,-79.0203732,42,42,Canada,CA,Canada,CA,2210.684826
534,146,Canada,16,Goalkeeper,Pantemis James,James,PANTEMIS,PANTEMIS,2/21/1997 0:00,CF Montréal (CAN),185,"Kirkland, Quebec, Canada",45.4560415,-73.8623337,42,42,Canada,CA,Canada,CA,2210.684826
536,468,Morocco,1,Goalkeeper,Bounou Yassine,Yassine,BOUNOU,BONO,4/5/1991 0:00,Sevilla FC (ESP),190,"Montreal, Quebec, Canada",45.5018869,-73.5673919,42,42,Canada,CA,Canada,CA,2210.684826
539,136,Canada,6,Midfielder,Piette Samuel,Samuel,PIETTE,PIETTE,11/12/1994 0:00,CF Montréal (CAN),171,"Le Gardeur, Quebec, Canada",45.7531515,-73.4702879,42,42,Canada,CA,Canada,CA,2210.684826
632,156,Canada,26,Defender,Waterman Joel,Joel Robert,WATERMAN,WATERMAN,1/24/1996 0:00,CF Montréal (CAN),185,"Langley, British Columbia, Canada",49.1041779,-122.6603519,42,42,Canada,CA,Canada,CA,2210.684826
633,132,Canada,2,Defender,Johnston Alistair,Alistair William,JOHNSTON,JOHNSTON,10/8/1998 0:00,CF Montréal (CAN),180,"Vancouver, British Columbia, Canada",49.2827291,-123.1207375,42,42,Canada,CA,Canada,CA,2210.684826
197,788,USA,9,Forward,Ferreira Jesus,Jesus David,FERREIRA CASTRO,FERREIRA,12/24/2000 0:00,FC Dallas (USA),175,"Santa Marta, Colombia",11.2403547,-74.2110227,51,51,Colombia,CO,Colombia,CO,70.68753225
104,302,France,16,Goalkeeper,Mandanda Steve,Steve,MANDANDA MPIDI,MANDANDA,3/28/1985 0:00,Stade Rennais FC (FRA),187,"Kinshasa, Zaire",-4.4419311,15.2662931,54,54,Congo DRC,CD,"Congo, The Democratic Republic of the",CD,83.43164509
169,157,Costa Rica,1,Goalkeeper,Navas Keylor,Keilor Antonio,NAVAS GAMBOA,K. NAVAS,12/15/1986 0:00,Paris Saint-Germain FC (FRA),185,"Pérez Zeledón, Costa Rica",9.35473,-83.634843,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
173,158,Costa Rica,2,Midfielder,Chacon Daniel,Daniel Alonso,CHACÓN SALAS,D. CHACÓN,4/11/2001 0:00,Colorado Rapids (USA),183,"Turrialba, Costa Rica",9.9067054,-83.6800512,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
174,161,Costa Rica,5,Midfielder,Borges Celso,Celso,BORGES MORA,C. BORGES,5/27/1988 0:00,LD Alajuelense (CRC),182,"San José, Costa Rica",9.9280694,-84.0907246,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
175,164,Costa Rica,8,Defender,Oviedo Bryan,Bryan Josué,OVIEDO JIMÉNEZ,B. OVIEDO,2/18/1990 0:00,Real Salt Lake (USA),172,"San José, Costa Rica",9.9280694,-84.0907246,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
176,166,Costa Rica,10,Midfielder,Ruiz Bryan,Bryan Jafet,RUIZ GONZÁLEZ,BRYAN,8/18/1985 0:00,LD Alajuelense (CRC),187,"San José, Costa Rica",9.9280694,-84.0907246,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
177,168,Costa Rica,12,Forward,Campbell Joel,Joel Nathaniel,CAMPBELL SAMUELS,J. CAMPBELL,6/26/1992 0:00,Club León (MEX),178,"San José, Costa Rica",9.9280694,-84.0907246,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
178,171,Costa Rica,15,Defender,Calvo Francisco,Francisco Javier,CALVO QUESADA,F. CALVO,7/8/1992 0:00,Konyaspor (TUR),180,"San José, Costa Rica",9.9280694,-84.0907246,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
179,175,Costa Rica,19,Defender,Waston Kendall,Kendall Jamaal,WASTON MANLEY,K. WASTON,1/1/1988 0:00,Deportivo Saprissa (CRC),196,"San José, Costa Rica",9.9280694,-84.0907246,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
180,182,Costa Rica,26,Midfielder,Zamora Alvaro,Alvaro José,ZAMORA MATA,A. ZAMORA,3/9/2002 0:00,Deportivo Saprissa (CRC),180,"San José, Costa Rica",9.9280694,-84.0907246,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
181,172,Costa Rica,16,Defender,Martinez Carlos,Carlos Manuel,MARTÍNEZ CASTRO,C. MARTINEZ,3/30/1999 0:00,AD San Carlos (CRC),176,"Santa Ana, Costa Rica",9.9312697,-84.1820735,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
182,163,Costa Rica,7,Forward,Contreras Anthony,Anthony Daniel,CONTRERAS ENRÍQUEZ,A. CONTRERAS,1/29/2000 0:00,CS Herediano (CRC),180,"Lomas de Pavas, San José,Costa Rica",9.959153,-84.1636773,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
183,181,Costa Rica,25,Midfielder,Hernandez Anthony,Anthony William,HERNÁNDEZ GONZÁLEZ,A. HERNANDEZ,10/11/2001 0:00,Puntarenas FC (CRC),179,"Puntarenas, Costa Rica",9.9778439,-84.8294211,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
184,165,Costa Rica,9,Midfielder,Bennette Jewison,Jewison Francisco,BENNETTE VILLEGAS,J. BENNETTE,6/15/2004 0:00,Sunderland AFC (ENG),173,"Heredia, Costa Rica",9.9981413,-84.1197643,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
185,169,Costa Rica,13,Midfielder,Torres Gerson,Gerson,TORRES BARRANTES,G. TORRES,8/28/1997 0:00,CS Herediano (CRC),176,"Heredia, Costa Rica",9.9981413,-84.1197643,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
186,160,Costa Rica,4,Defender,Fuller Keysher,Keysher,FULLER SPENCE,K. FULLER,7/12/1994 0:00,CS Herediano (CRC),183,"Limón, Costa Rica",9.9913106,-83.0415078,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
187,167,Costa Rica,11,Forward,Venegas Johan,Johan Alberto,VENEGAS ULLOA,JOHAN,11/27/1988 0:00,LD Alajuelense (CRC),183,"Limón, Costa Rica",9.9913106,-83.0415078,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
188,173,Costa Rica,17,Midfielder,Tejeda Yeltsin,Yeltsin Ignacio,TEJEDA VALVERDE,Y. TEJEDA,3/17/1992 0:00,CS Herediano (CRC),179,"Limón, Costa Rica",9.9913106,-83.0415078,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
189,179,Costa Rica,23,Goalkeeper,Sequeira Patrick,Patrick Gilmar,SEQUEIRA MEJIAS,P. SEQUEIRA,3/1/1999 0:00,CD Lugo (ESP),190,"Limón, Costa Rica",9.9913106,-83.0415078,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
190,180,Costa Rica,24,Midfielder,Wilson Roan,Roan Roberto,WILSON GORDON,R. WILSON,5/1/2002 0:00,AD Municipal Grecia (CRC),184,"Limón, Costa Rica",9.9913106,-83.0415078,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
191,177,Costa Rica,21,Midfielder,Lopez Douglas,Douglas Andrey,LÓPEZ ARAYA,D. LÓPEZ,9/21/1998 0:00,CS Herediano (CRC),180,"Alajuela, Costa Rica",10.0159394,-84.2141701,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
192,178,Costa Rica,22,Defender,Matarrita Ronald,Ronald Alberto,MATARRITA ULATE,R. MATARRITA,7/9/1994 0:00,FC Cincinnatti (USA),175,"Alajuela, Costa Rica",10.0159394,-84.2141701,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
193,159,Costa Rica,3,Defender,Vargas Juan Pablo,Juan Pablo,VARGAS CAMPOS,J. VARGAS,6/6/1995 0:00,Millonarios FC (COL),192,"Sarchí, Costa Rica",10.0898383,-84.3476321,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
194,176,Costa Rica,20,Midfielder,Aguilera Brandon,Brandon,AGUILERA ZAMORA,B. AGUILERA,6/28/2003 0:00,AD Guanacasteca (CRC),179,"Naranjo, Costa Rica",10.0974116,-84.3831166,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
195,174,Costa Rica,18,Goalkeeper,Alvarado Esteban,Esteban,ALVARADO BROWN,E. ALVARADO,4/28/1989 0:00,CS Herediano (CRC),193,"Siquirres, Costa Rica",10.0981388,-83.5096859,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
196,170,Costa Rica,14,Midfielder,Salas Youstin,Youstin Deln,SALAS GOMEZ,Y. SALAS,6/17/1996 0:00,Deportivo Saprissa (CRC),173,"Cariari, Costa Rica",10.488088,-83.6135572,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255
481,186,Croatia,4,Forward,Perisic Ivan,Ivan,PERIŠIĆ,PERIŠIĆ,2/2/1989 0:00,Tottenham Hotspur FC (ENG),187,"Split, SR Croatia, SFR Yugoslavia",43.5147118,16.4435148,58,58,Croatia,HR,Croatia,HR,37.58922917
482,194,Croatia,12,Goalkeeper,Grbic Ivo,Ivo,GRBIĆ,GRBIĆ,1/18/1996 0:00,CA Atlético Madrid (ESP),195,"Split, Croatia",43.5147118,16.4435148,58,58,Croatia,HR,Croatia,HR,37.58922917
483,195,Croatia,13,Midfielder,Vlasic Nikola,Nikola,VLAŠIĆ,VLAŠIĆ,10/4/1997 0:00,Torino FC (ITA),178,"Split, Croatia",43.5147118,16.4435148,58,58,Croatia,HR,Croatia,HR,37.58922917
484,196,Croatia,14,Forward,Livaja Marko,Marko,LIVAJA,LIVAJA,8/26/1993 0:00,HNK Hajduk Split (CRO),182,"Split, Croatia",43.5147118,16.4435148,58,58,Croatia,HR,Croatia,HR,37.58922917
485,208,Croatia,26,Midfielder,Jakic Kristijan,Kristijan,JAKIĆ,JAKIĆ,5/14/1997 0:00,Eintracht Frankfurt (GER),181,"Split, Croatia",43.5147118,16.4435148,58,58,Croatia,HR,Croatia,HR,37.58922917
510,28,Australia,2,Defender,Degenek Milos,Milos,DEGENEK,DEGENEK,4/28/1994 0:00,Columbus Crew SC (USA),187,"Knin, Croatia",44.0407757,16.1964988,58,58,Croatia,HR,Croatia,HR,37.58922917
511,148,Canada,18,Goalkeeper,Borjan Milan,Milan,BORJAN,BORJAN,10/23/1987 0:00,FK Crvena Zvezda (SRB),195,"Knin, SR Croatia, Yugoslavia",44.0407757,16.1964988,58,58,Croatia,HR,Croatia,HR,37.58922917
512,183,Croatia,1,Goalkeeper,Livakovic Dominik,Dominik,LIVAKOVIĆ,LIVAKOVIĆ,1/9/1995 0:00,GNK Dinamo Zagreb (CRO),188,"Zadar, Croatia",44.119371,15.2313648,58,58,Croatia,HR,Croatia,HR,37.58922917
513,187,Croatia,5,Defender,Erlic Martin,Martin,ERLIĆ,ERLIĆ,1/24/1998 0:00,US Sassuolo (ITA),192,"Zadar, Croatia",44.119371,15.2313648,58,58,Croatia,HR,Croatia,HR,37.58922917
514,192,Croatia,10,Midfielder,Modric Luka,Luka,MODRIĆ,MODRIĆ,9/9/1985 0:00,Real Madrid CF (ESP),172,"Zadar, SR Croatia, SFR Yugoslavia",44.119371,15.2313648,58,58,Croatia,HR,Croatia,HR,37.58922917
533,205,Croatia,23,Goalkeeper,Ivusic Ivica,Ivica,IVUŠIĆ,IVUŠIĆ,2/1/1995 0:00,NK Osijek (CRO),195,"Rijeka, Croatia",45.3270631,14.442176,58,58,Croatia,HR,Croatia,HR,37.58922917
535,203,Croatia,21,Defender,Vida Domagoj,Domagoj,VIDA,VIDA,4/29/1989 0:00,AEK Athens (GRE),184,"Našice, SR Croatia, SFR Yugoslavia",45.4946861,18.0951118,58,58,Croatia,HR,Croatia,HR,37.58922917
537,185,Croatia,3,Defender,Barisic Borna,Borna,BARIŠIĆ,BARIŠIĆ,11/10/1992 0:00,Rangers FC (SCO),186,"Osijek, Croatia",45.5549624,18.6955144,58,58,Croatia,HR,Croatia,HR,37.58922917
542,31,Australia,5,Defender,Karacic Fran,Fran,KARACIC,KARACIC,5/12/1996 0:00,Brescia Calcio (ITA),181,"Zagreb, Croatia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
543,189,Croatia,7,Midfielder,Majer Lovro,Lovro,MAJER,MAJER,1/17/1998 0:00,Stade Rennais FC (FRA),178,"Zagreb, Croatia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
544,191,Croatia,9,Forward,Kramaric Andrej,Andrej,KRAMARIĆ,KRAMARIĆ,6/19/1991 0:00,TSG 1899 Hoffenheim (GER),177,"Zagreb, SR Croatia, Yugoslavia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
545,193,Croatia,11,Midfielder,Brozovic Marcelo,Marcelo,BROZOVIĆ,BROZOVIĆ,11/16/1992 0:00,FC Internazionale (ITA),181,"Zagreb, Croatia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
546,200,Croatia,18,Forward,Orsic Mislav,Mislav,ORŠIĆ,ORŠIĆ,12/29/1992 0:00,GNK Dinamo Zagreb (CRO),179,"Zagreb, Croatia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
547,201,Croatia,19,Defender,Sosa Borna,Borna,SOSA,SOSA,1/21/1998 0:00,VfB Stuttgart (GER),187,"Zagreb, Croatia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
548,202,Croatia,20,Defender,Gvardiol Josko,Joško,GVARDIOL,GVARDIOL,1/23/2002 0:00,RB Leipzig (GER),185,"Zagreb, Croatia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
549,204,Croatia,22,Defender,Juranovic Josip,Josip,JURANOVIĆ,JURANOVIĆ,8/16/1995 0:00,Celtic FC (SCO),173,"Zagreb, Croatia",45.8150108,15.981919,58,58,Croatia,HR,Croatia,HR,37.58922917
799,225,Denmark,17,Defender,Stryger Larsen Jens,Jens Stryger,LARSEN,STRYGER,2/21/1991 0:00,Trabzonspor (TUR),182,"Sakskøbing, Denmark",54.798236,11.631226,63,63,Denmark,DK,Denmark,DK,45.38183934
803,234,Denmark,26,Defender,Bah Alexander,Alexander Hartmann,BAH,BAH,12/9/1997 0:00,SL Benfica (POR),183,"Årslev, Denmark",55.3065946,10.4789498,63,63,Denmark,DK,Denmark,DK,45.38183934
804,224,Denmark,16,Goalkeeper,Christensen Oliver,Oliver,CHRISTENSEN,O. CHRISTENSEN,3/22/1999 0:00,Hertha BSC (GER),190,"Kerteminde, Denmark",55.455882,10.654979,63,63,Denmark,DK,Denmark,DK,45.38183934
805,217,Denmark,9,Forward,Braithwaite Martin,Martin Christensen,BRAITHWAITE,BRAITHWAITE,6/5/1991 0:00,RCD Espanyol (ESP),180,"Esbjerg, Denmark",55.476466,8.459405,63,63,Denmark,DK,Denmark,DK,45.38183934
806,218,Denmark,10,Midfielder,Eriksen Christian,Christian Dannemann,ERIKSEN,ERIKSEN,2/14/1992 0:00,Manchester United FC (ENG),181,"Middelfart, Denmark",55.497204,9.747172,63,63,Denmark,DK,Denmark,DK,45.38183934
807,210,Denmark,2,Defender,Andersen Joachim,Joachim Christian,ANDERSEN,ANDERSEN,5/31/1996 0:00,Crystal Palace FC (ENG),192,"Solrød Strand, Denmark",55.5347191,12.1929891,63,63,Denmark,DK,Denmark,DK,45.38183934
809,215,Denmark,7,Midfielder,Jensen Mathias,Mathias,JENSEN,JENSEN,1/1/1996 0:00,Brentford FC (ENG),180,"Jerslev, Zealand, Denmark",55.612252,11.229265,63,63,Denmark,DK,Denmark,DK,45.38183934
810,227,Denmark,19,Forward,Wind Jonas,Jonas Older,WIND,WIND,2/7/1999 0:00,VfL Wolfsburg (GER),190,"Hvidovre, Denmark",55.642522,12.475386,63,63,Denmark,DK,Denmark,DK,45.38183934
811,233,Denmark,25,Midfielder,Lindstrom Jesper,Jesper Grænge,LINDSTRØM,LINDSTRØM,2/29/2000 0:00,Eintracht Frankfurt (GER),182,"Taastrup, Denmark",55.6460162,12.2979366,63,63,Denmark,DK,Denmark,DK,45.38183934
