National Team,Number,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),Birth,birth_lat,birth_long
Canada,17,Forward,LARIN Cyle,Cyle Christopher,LARIN,LARIN,17/04/1995,Club Brugge (BEL),188,"Brampton, Ontario, Canada",43.7315479,-79.7624177
Canada,18,Goalkeeper,BORJAN Milan,Milan,BORJAN,BORJAN,23/10/1987,FK Crvena Zvezda (SRB),195,"Knin, SR Croatia, Yugoslavia",44.0407757,16.1964988
Canada,19,Forward,DAVIES Alphonso,Alphonso Boyle,DAVIES,DAVIES,2/11/2000,FC Bayern München (GER),183,"Buduburam, Ghana",5.5247986,-0.4738293
Canada,20,Forward,DAVID Jonathan,Jonathan Christian,DAVID,J. DAVID,14/01/2000,Lille OSC (FRA),175,"Brooklyn, New York, U.S.",40.6781784,-73.9441579
Canada,21,Midfielder,OSORIO Jonathan,Jonathan,OSORIO,OSORIO,12/6/1992,Toronto FC (CAN),175,"Toronto, Ontario, Canada",43.653226,-79.3831843
Canada,22,Defender,LARYEA Richie,Richmond Mamah,LARYEA,LARYEA,7/1/1995,Toronto FC (CAN),175,"Toronto, Ontario, Canada",43.653226,-79.3831843
Canada,23,Midfielder,MILLAR Liam,Liam Alan,MILLAR,MILLAR,27/09/1999,FC Basel (SUI),176,"Toronto, Ontario, Canada",43.653226,-79.3831843
Canada,24,Midfielder,WOTHERSPOON David,David Wallace,WOTHERSPOON,WOTHERSPOON,16/01/1990,St Johnstone FC (SCO),172,"Perth, Scotland",56.394994,-3.430838
Canada,25,Defender,CORNELIUS Derek,Derek Austin,CORNELIUS,CORNELIUS,25/11/1997,Panetolikos FC (GRE),186,"Ajax, Ontario, Canada",43.8508553,-79.0203732
Canada,26,Defender,WATERMAN Joel,Joel Robert,WATERMAN,WATERMAN,24/1/1996,CF Montréal (CAN),185,"Langley, British Columbia, Canada",49.1041779,-122.6603519
Costa Rica,1,Goalkeeper,NAVAS Keylor,Keilor Antonio,NAVAS GAMBOA,K. NAVAS,15/12/1986,Paris Saint-Germain FC (FRA),185,"Pérez Zeledón, Costa Rica",9.35473,-83.63484299999999
Costa Rica,2,Midfielder,CHACON Daniel,Daniel Alonso,CHACÓN SALAS,D. CHACÓN,11/4/2001,Colorado Rapids (USA),183,"Turrialba, Costa Rica",9.9067054,-83.6800512
Costa Rica,3,Defender,VARGAS Juan Pablo,Juan Pablo,VARGAS CAMPOS,J. VARGAS,6/6/1995,Millonarios FC (COL),192,"Sarch�, Costa Rica",10.0898383,-84.34763210000001
Costa Rica,4,Defender,FULLER Keysher,Keysher,FULLER SPENCE,K. FULLER,12/7/1994,CS Herediano (CRC),183,"Limón, Costa Rica",9.9913106,-83.04150779999999
Costa Rica,5,Midfielder,BORGES Celso,Celso,BORGES MORA,C. BORGES,27/05/1988,LD Alajuelense (CRC),182,"San José, Costa Rica",9.9280694,-84.0907246
Costa Rica,6,Defender,DUARTE Oscar,Oscar Esau,DUARTE GAITAN,O. DUARTE,3/6/1989,Al Wehda FC (KSA),186,"Catarina, Nicaragua",11.9104731,-86.0758979
Costa Rica,7,Forward,CONTRERAS Anthony,Anthony Daniel,CONTRERAS ENRÍQUEZ,A. CONTRERAS,29/01/2000,CS Herediano (CRC),180,"Lomas de Pavas, San José,Costa Rica",9.959153,-84.1636773
Costa Rica,8,Defender,OVIEDO Bryan,Bryan Josué,OVIEDO JIMÉNEZ,B. OVIEDO,18/02/1990,Real Salt Lake (USA),172,"San José, Costa Rica",9.9280694,-84.0907246
Costa Rica,9,Midfielder,BENNETTE Jewison,Jewison Francisco,BENNETTE VILLEGAS,J. BENNETTE,15/06/2004,Sunderland AFC (ENG),173,"Heredia, Costa Rica",9.9981413,-84.1197643
Costa Rica,10,Midfielder,RUIZ Bryan,Bryan Jafet,RUIZ GONZÁLEZ,BRYAN,18/08/1985,LD Alajuelense (CRC),187,"San José, Costa Rica",9.9280694,-84.0907246
Costa Rica,11,Forward,VENEGAS Johan,Johan Alberto,VENEGAS ULLOA,JOHAN,27/11/1988,LD Alajuelense (CRC),183,"Limón, Costa Rica",9.9913106,-83.04150779999999
Costa Rica,12,Forward,CAMPBELL Joel,Joel Nathaniel,CAMPBELL SAMUELS,J. CAMPBELL,26/06/1992,Club León (MEX),178,"San José, Costa Rica",9.9280694,-84.0907246
Costa Rica,13,Midfielder,TORRES Gerson,Gerson,TORRES BARRANTES,G. TORRES,28/08/1997,CS Herediano (CRC),176,"Heredia, Costa Rica",9.9981413,-84.1197643
Costa Rica,14,Midfielder,SALAS Youstin,Youstin Deln,SALAS GOMEZ,Y. SALAS,17/06/1996,Deportivo Saprissa (CRC),173,"Cariari, Costa Rica",10.488088,-83.6135572
Costa Rica,15,Defender,CALVO Francisco,Francisco Javier,CALVO QUESADA,F. CALVO,8/7/1992,Konyaspor (TUR),180,"San José, Costa Rica",9.9280694,-84.0907246
Costa Rica,16,Defender,MARTINEZ Carlos,Carlos Manuel,MARTÍNEZ CASTRO,C. MARTINEZ,30/03/1999,AD San Carlos (CRC),176,"Santa Ana, Costa Rica",9.9312697,-84.1820735
Costa Rica,17,Midfielder,TEJEDA Yeltsin,Yeltsin Ignacio,TEJEDA VALVERDE,Y. TEJEDA,17/03/1992,CS Herediano (CRC),179,"Limón, Costa Rica",9.9913106,-83.04150779999999
Costa Rica,18,Goalkeeper,ALVARADO Esteban,Esteban,ALVARADO BROWN,E. ALVARADO,28/04/1989,CS Herediano (CRC),193,"Siquirres, Costa Rica",10.0981388,-83.5096859
Costa Rica,19,Defender,WASTON Kendall,Kendall Jamaal,WASTON MANLEY,K. WASTON,1/1/1988,Deportivo Saprissa (CRC),196,"San José, Costa Rica",9.9280694,-84.0907246
Costa Rica,20,Midfielder,AGUILERA Brandon,Brandon,AGUILERA ZAMORA,B. AGUILERA,28/06/2003,AD Guanacasteca (CRC),179,"Naranjo, Costa Rica",10.0974116,-84.3831166
Costa Rica,21,Midfielder,LOPEZ Douglas,Douglas Andrey,LÓPEZ ARAYA,D. LÓPEZ,21/09/1998,CS Herediano (CRC),180,"Alajuela, Costa Rica",10.0159394,-84.21417009999999
Costa Rica,22,Defender,MATARRITA Ronald,Ronald Alberto,MATARRITA ULATE,R. MATARRITA,9/7/1994,FC Cincinnatti (USA),175,"Alajuela, Costa Rica",10.0159394,-84.21417009999999
Costa Rica,23,Goalkeeper,SEQUEIRA Patrick,Patrick Gilmar,SEQUEIRA MEJIAS,P. SEQUEIRA,1/3/1999,CD Lugo (ESP),190,"Limón, Costa Rica",9.9913106,-83.04150779999999
Costa Rica,24,Midfielder,WILSON Roan,Roan Roberto,WILSON GORDON,R. WILSON,1/5/2002,AD Municipal Grecia (CRC),184,"Limón, Costa Rica",9.9913106,-83.04150779999999
Costa Rica,25,Midfielder,HERNANDEZ Anthony,Anthony William,HERNÁNDEZ GONZÁLEZ,A. HERNANDEZ,11/10/2001,Puntarenas FC (CRC),179,"Puntarenas, Costa Rica",9.9778439,-84.82942109999999
Costa Rica,26,Midfielder,ZAMORA Alvaro,Alvaro José,ZAMORA MATA,A. ZAMORA,9/3/2002,Deportivo Saprissa (CRC),180,"San José, Costa Rica",9.9280694,-84.0907246
Croatia,1,Goalkeeper,LIVAKOVIC Dominik,Dominik,LIVAKOVIĆ,LIVAKOVIĆ,9/1/1995,GNK Dinamo Zagreb (CRO),188,"Zadar, Croatia",44.119371,15.2313648
Croatia,2,Defender,STANISIC Josip,Josip,STANIŠIĆ,STANIŠIĆ,2/4/2000,FC Bayern München (GER),186,"Munich, Germany",48.1351253,11.5819806
Croatia,3,Defender,BARISIC Borna,Borna,BARIŠIĆ,BARIŠIĆ,10/11/1992,Rangers FC (SCO),186,"Osijek, Croatia",45.5549624,18.6955144
Croatia,4,Forward,PERISIC Ivan,Ivan,PERIŠIĆ,PERIŠIĆ,2/2/1989,Tottenham Hotspur FC (ENG),187,"Split, SR Croatia, SFR Yugoslavia",43.5147118,16.4435148
Croatia,5,Defender,ERLIC Martin,Martin,ERLIĆ,ERLIĆ,24/01/1998,US Sassuolo (ITA),192,"Zadar, Croatia",44.119371,15.2313648
Croatia,6,Defender,LOVREN Dejan,Dejan,LOVREN,LOVREN,5/7/1989,FC Zenit St. Petersburg (RUS),188,"Zenica, SR Bosnia and Herzegovina, SFR Yugoslavia",44.2034392,17.9077432
Croatia,7,Midfielder,MAJER Lovro,Lovro,MAJER,MAJER,17/01/1998,Stade Rennais FC (FRA),178,"Zagreb, Croatia",45.8150108,15.981919
Croatia,8,Midfielder,KOVACIC Mateo,Mateo,KOVAČIĆ,KOVAČIĆ,6/5/1994,Chelsea FC (ENG),177,"Linz, Austria",48.30694,14.28583
Croatia,9,Forward,KRAMARIC Andrej,Andrej,KRAMARIĆ,KRAMARIĆ,19/06/1991,TSG 1899 Hoffenheim (GER),177,"Zagreb, SR Croatia, Yugoslavia",45.8150108,15.981919
Croatia,10,Midfielder,MODRIC Luka,Luka,MODRIĆ,MODRIĆ,9/9/1985,Real Madrid CF (ESP),172,"Zadar, SR Croatia, SFR Yugoslavia",44.119371,15.2313648
Croatia,11,Midfielder,BROZOVIC Marcelo,Marcelo,BROZOVIĆ,BROZOVIĆ,16/11/1992,FC Internazionale (ITA),181,"Zagreb, Croatia",45.8150108,15.981919
Croatia,12,Goalkeeper,GRBIC Ivo,Ivo,GRBIĆ,GRBIĆ,18/01/1996,CA Atlético Madrid (ESP),195,"Split, Croatia",43.5147118,16.4435148
Croatia,13,Midfielder,VLASIC Nikola,Nikola,VLAŠIĆ,VLAŠIĆ,4/10/1997,Torino FC (ITA),178,"Split, Croatia",43.5147118,16.4435148
Croatia,14,Forward,LIVAJA Marko,Marko,LIVAJA,LIVAJA,26/08/1993,HNK Hajduk Split (CRO),182,"Split, Croatia",43.5147118,16.4435148
Croatia,15,Midfielder,PASALIC Mario,Mario,PAŠALIĆ,PAŠALIĆ,9/2/1995,Atalanta Bergamo (ITA),189,"Mainz, Germany",49.9928617,8.2472526
Croatia,16,Forward,PETKOVIC Bruno,Bruno,PETKOVIĆ,PETKOVIĆ,16/09/1994,GNK Dinamo Zagreb (CRO),193,"Metković, Croatia",43.05328009999999,17.6493431
Croatia,17,Forward,BUDIMIR Ante,Ante,BUDIMIR,BUDIMIR,22/07/1991,CA Osasuna (ESP),190,"Zenica, SR Bosnia and Herzegovina, SFR Yugoslavia",44.2034392,17.9077432
Croatia,18,Forward,ORSIC Mislav,Mislav,ORŠIĆ,ORŠIĆ,29/12/1992,GNK Dinamo Zagreb (CRO),179,"Zagreb, Croatia",45.8150108,15.981919
Croatia,19,Defender,SOSA Borna,Borna,SOSA,SOSA,21/01/1998,VfB Stuttgart (GER),187,"Zagreb, Croatia",45.8150108,15.981919
Croatia,20,Defender,GVARDIOL Josko,Joško,GVARDIOL,GVARDIOL,23/01/2002,RB Leipzig (GER),185,"Zagreb, Croatia",45.8150108,15.981919
Croatia,21,Defender,VIDA Domagoj,Domagoj,VIDA,VIDA,29/04/1989,AEK Athens (GRE),184,"Našice, SR Croatia, SFR Yugoslavia",45.4946861,18.0951118
Croatia,22,Defender,JURANOVIC Josip,Josip,JURANOVIĆ,JURANOVIĆ,16/08/1995,Celtic FC (SCO),173,"Zagreb, Croatia",45.8150108,15.981919
Croatia,23,Goalkeeper,IVUSIC Ivica,Ivica,IVUŠIĆ,IVUŠIĆ,1/2/1995,NK Osijek (CRO),195,"Rijeka, Croatia",45.3270631,14.442176
Croatia,24,Defender,SUTALO Josip,Josip,ŠUTALO,ŠUTALO,28/02/2000,GNK Dinamo Zagreb (CRO),190,"Čapljina, Bosnia and Herzegovina",43.11182669999999,17.7054838
Croatia,25,Midfielder,SUCIC Luka,Luka,SUČIĆ,SUČIĆ,8/9/2002,FC Red Bull Salzburg (AUT),185,"Linz, Austria",48.30694,14.28583
Croatia,26,Midfielder,JAKIC Kristijan,Kristijan,JAKIĆ,JAKIĆ,14/05/1997,Eintracht Frankfurt (GER),181,"Split, Croatia",43.5147118,16.4435148
Denmark,1,Goalkeeper,SCHMEICHEL Kasper,Kasper Peter,SCHMEICHEL,SCHMEICHEL,5/11/1986,OGC Nice (FRA),190,"Copenhagen, Denmark",55.6760968,12.5683371
Denmark,2,Defender,ANDERSEN Joachim,Joachim Christian,ANDERSEN,ANDERSEN,31/05/1996,Crystal Palace FC (ENG),192,"Solrød Strand, Denmark",55.5347191,12.1929891
Denmark,3,Defender,NELSSON Victor,Victor Enok,NELSSON,NELSSON,14/10/1998,Galatasaray SK (TUR),185,"Hornbæk, Denmark",56.084962,12.458537
Denmark,4,Defender,KJAER Simon,Simon Thorup,KJÆR,KJÆR,26/03/1989,AC Milan (ITA),191,"Horsens, Denmark",55.8581302,9.8475881
Denmark,5,Defender,MAEHLE Joakim,Joakim Mæhle,PEDERSEN,MÆHLE,20/05/1997,Atalanta Bergamo (ITA),185,"Østervrå, Denmark",57.34117870000001,10.2382091
Denmark,6,Defender,CHRISTENSEN Andreas,Andreas Bødtker,CHRISTENSEN,A. CHRISTENSEN,10/4/1996,FC Barcelona (ESP),192,"Lillerød, Denmark",55.8684723,12.3429773
Denmark,7,Midfielder,JENSEN Mathias,Mathias,JENSEN,JENSEN,1/1/1996,Brentford FC (ENG),180,"Jerslev, Zealand, Denmark",55.612252,11.229265
Denmark,8,Midfielder,DELANEY Thomas,Thomas Joseph,DELANEY,DELANEY,3/9/1991,Sevilla FC (ESP),180,"Frederiksberg, Denmark",55.677069,12.513321
Denmark,9,Forward,BRAITHWAITE Martin,Martin Christensen,BRAITHWAITE,BRAITHWAITE,5/6/1991,RCD Espanyol (ESP),180,"Esbjerg, Denmark",55.476466,8.459405
Denmark,10,Midfielder,ERIKSEN Christian,Christian Dannemann,ERIKSEN,ERIKSEN,14/02/1992,Manchester United FC (ENG),181,"Middelfart, Denmark",55.497204,9.747172
Denmark,11,Midfielder,SKOV OLSEN Andreas,Andreas Skov,OLSEN,SKOV OLSEN,29/12/1999,Club Brugge (BEL),187,"Hillerød, Denmark",55.927909,12.300806
Denmark,12,Forward,DOLBERG Kasper,Kasper Dolberg,RASMUSSEN,DOLBERG,6/10/1997,Sevilla FC (ESP),187,"Silkeborg, Denmark",56.176362,9.5549216
Denmark,13,Defender,KRISTENSEN Rasmus,Rasmus Nissen,KRISTENSEN,KRISTENSEN,11/7/1997,Leeds United FC (ENG),187,"Brande, Denmark",55.9426864,9.1287953
Denmark,14,Midfielder,DAMSGAARD Mikkel,Mikkel Krogh,DAMSGAARD,DAMSGAARD,3/7/2000,Brentford FC (ENG),180,"Jyllinge, Denmark",55.748496,12.110293
Denmark,15,Midfielder,NORGAARD Christian,Christian Thers,NØRGAARD,NØRGAARD,10/3/1994,Brentford FC (ENG),186,"Copenhagen, Denmark",55.6760968,12.5683371
Denmark,16,Goalkeeper,CHRISTENSEN Oliver,Oliver,CHRISTENSEN,O. CHRISTENSEN,22/03/1999,Hertha BSC (GER),190,"Kerteminde, Denmark",55.455882,10.654979
Denmark,17,Defender,STRYGER LARSEN Jens,Jens Stryger,LARSEN,STRYGER,21/02/1991,Trabzonspor (TUR),182,"Sakskøbing, Denmark",54.798236,11.631226
Denmark,18,Defender,WASS Daniel,Daniel,WASS,WASS,31/05/1989,Brøndby IF (DEN),181,"Gladsaxe, Denmark",55.73346100000001,12.488686
Denmark,19,Forward,WIND Jonas,Jonas Older,WIND,WIND,7/2/1999,VfL Wolfsburg (GER),190,"Hvidovre, Denmark",55.64252200000001,12.475386
Denmark,20,Forward,YURARY POULSEN Yussuf,Yussuf Yurary,POULSEN,YURARY,15/06/1994,RB Leipzig (GER),193,"Copenhagen, Denmark",55.6760968,12.5683371
Denmark,21,Forward,CORNELIUS Andreas,Andreas Evald,CORNELIUS,CORNELIUS,16/03/1993,FC København (DEN),195,"Copenhagen, Denmark",55.6760968,12.5683371
Denmark,22,Goalkeeper,RONNOW Frederik,Frederik Riis,RØNNOW,RØNNOW,4/8/1992,1. FC Union Berlin (GER),190,"Horsens, Denmark",55.8581302,9.8475881
Denmark,23,Midfielder,HOJBJERG Pierre-Emile,Pierre-Emile Kordt,HØJBJERG,HØJBJERG,5/8/1995,Tottenham Hotspur FC (ENG),187,"Copenhagen, Denmark",55.6760968,12.5683371
Denmark,24,Midfielder,SKOV Robert,Robert,SKOV,SKOV,20/05/1996,TSG 1899 Hoffenheim (GER),183,"Marbella, Spain",36.510071,-4.8824474
Denmark,25,Midfielder,LINDSTROM Jesper,Jesper Grænge,LINDSTRØM,LINDSTRØM,29/02/2000,Eintracht Frankfurt (GER),182,"Taastrup, Denmark",55.6460162,12.2979366
Denmark,26,Defender,BAH Alexander,Alexander Hartmann,BAH,BAH,9/12/1997,SL Benfica (POR),183,"Årslev, Denmark",55.3065946,10.4789498
Ecuador,1,Goalkeeper,GALINDEZ Hernan,Hernan Ismael,GALINDEZ,GALINDEZ,30/03/1987,SD Aucas (ECU),189,"Rosario, Argentina",-32.9587022,-60.69304159999999
Ecuador,2,Defender,TORRES Felix,Felix Eduardo,TORRES CAICEDO,TORRES,11/1/1997,Club Santos Laguna (MEX),187,"San Lorenzo, Ecuador",1.2694769,-78.84392679999999
Ecuador,3,Defender,HINCAPIE Piero,Piero Martin,HINCAPIE REYNA,HINCAPIE,9/1/2002,Bayer 04 Leverkusen (GER),183,"Esmeraldas, Ecuador",0.9681789,-79.6517202
Ecuador,4,Defender,ARBOLEDA Robert,Robert Abel,ARBOLEDA ESCOBAR,ARBOLEDA,22/10/1991,Sao Paulo FC (BRA),189,"Esmeraldas, Ecuador",0.9681789,-79.6517202
Ecuador,5,Midfielder,CIFUENTES Jose,Jose Adoni,CIFUENTES CHARCOPA,CIFUENTES,12/3/1999,Los Angeles FC (USA),178,"Esmeraldas, Ecuador",0.9681789,-79.6517202
Ecuador,6,Defender,PACHO William,William Joel,PACHO TENORIO,PACHO,16/10/2001,Royal Antwerp FC (BEL),188,"Quinindé, Ecuador",0.3268809,-79.4647633
Ecuador,7,Defender,ESTUPINAN Pervis,Pervis Josue,ESTUPIÑÁN TENORIO,ESTUPIÑAN,21/01/1998,Brighton & Hove Albion FC (ENG),175,"Esmeraldas, Ecuador",0.9681789,-79.6517202
Ecuador,8,Midfielder,GRUEZO Carlos,Carlos Armando,GRUEZO ARVOLEDA,GRUEZO,19/04/1995,FC Augsburg (GER),172,"Santo Domingo, Ecuador",-0.2538414,-79.1763307
Ecuador,9,Midfielder,PRECIADO Ayrton,Eduar Ayrton,PRECIADO GARCIA,AYRTON P.,17/07/1994,Club Santos Laguna (MEX),181,"Esmeraldas, Ecuador",0.9681789,-79.6517202
Ecuador,10,Midfielder,IBARRA Romario,Romario Andres,IBARRA MINA,IBARRA,24/09/1994,CF Pachuca (MEX),175,"Atuntaqui, Ecuador",0.3323852,-78.2162833
Ecuador,11,Forward,ESTRADA Michael,Michael Steveen,ESTRADA MARTÍNEZ,ESTRADA,7/4/1996,Cruz Azul (MEX),187,"Guayaquil, Ecuador",-2.1894128,-79.8890662
Ecuador,12,Goalkeeper,RAMIREZ Moises,Wellington Moises,RAMÍREZ PRECIADO,RAMIREZ,9/9/2000,Independiente Del Valle (ECU),185,"Guayaquil, Ecuador",-2.1894128,-79.8890662
Ecuador,13,Forward,VALENCIA Enner,Enner Remberto,VALENCIA LASTRA,VALENCIA,4/11/1989,Fenerbahce SK (TUR),177,"Esmeraldas, Ecuador",0.9681789,-79.6517202
Ecuador,14,Defender,ARREAGA Xavier,Xavier Ricardo,ARREAGA BERMELLO,ARREAGA,28/09/1994,Seattle Sounders FC (USA),184,"Guayaquil, Ecuador",-2.1894128,-79.8890662
Ecuador,15,Midfielder,MENA Angel,Angel Israel,MENA DELGADO,MENA,21/01/1988,Club León (MEX),168,"Guayaquil, Ecuador",-2.1894128,-79.8890662
Ecuador,16,Midfielder,SARMIENTO Jeremy,Jeremy Leonel,SARMIENTO MORANTE,SARMIENTO,16/06/2002,Brighton & Hove Albion FC (ENG),178,"Madrid, Spain",40.4167754,-3.7037902
Ecuador,17,Defender,PRECIADO Angelo,Angelo Smit,PRECIADO QUIÑONEZ,ANGELO,18/02/1998,KRC Genk (BEL),174,"Shushufindi, Ecuador",-0.1882903,-76.6421554
Ecuador,18,Defender,PALACIOS Diego,Diego Jose,PALACIOS ESPINOZA,PALACIOS,12/7/1999,Los Angeles FC (USA),169,"Guayaquil, Ecuador",-2.1894128,-79.8890662
Ecuador,19,Midfielder,PLATA Gonzalo,Gonzalo Jordy,PLATA JIMENEZ,PLATA,1/11/2000,Real Valladolid CF (ESP),178,"Guayaquil, Ecuador",-2.1894128,-79.8890662
Ecuador,20,Midfielder,MENDEZ Jhegson,Jhegson Sebastián,MÉNDEZ CARABALÍ,MENDEZ,26/04/1997,Los Angeles FC (USA),175,"Mira, Ecuador",0.5502201999999999,-78.0409416
Ecuador,21,Midfielder,FRANCO Alan,Alan Steven,FRANCO PALMA,FRANCO,21/08/1998,CA Talleres (ARG),175,"Jujan, Ecuador",-1.8907804,-79.5550787
Ecuador,22,Goalkeeper,DOMINGUEZ Alexander,Alexander,DOMINGUEZ CARABALI,DOMINGUEZ,5/6/1987,LDU Quito (ECU),195,"Esmeraldas, Ecuador",0.9681789,-79.6517202
Ecuador,23,Midfielder,CAICEDO Moises,Moises Isaac,CAICEDO COROZO,CAICEDO,2/11/2001,Brighton & Hove Albion FC (ENG),178,"Santo Domingo, Ecuador",-0.2538414,-79.1763307
Ecuador,24,Forward,REASCO Djorkaeff,Djorkaeff Neicer,REASCO GONZALEZ,REASCO,18/01/1999,CA Newells Old Boys (ARG),172,"Quito, Ecuador",-0.1806532,-78.4678382
Ecuador,25,Defender,POROZO Jackson,Jackson Gabriel,POROZO VERNAZA,POROZO,4/8/2000,ES Troyes (FRA),191,"San Lorenzo, Ecuador",1.2694769,-78.84392679999999
Ecuador,26,Forward,RODRIGUEZ Kevin,Kevin Jose,RODRIGUEZ CORTEZ,K. RODRIGUEZ,4/3/2000,Imbabura SC (ECU),190,"Ibarra, Ecuador",0.3471469,-78.13236479999999
England,1,Goalkeeper,PICKFORD Jordan,Jordan Lee,PICKFORD,PICKFORD,7/3/1994,Everton FC (ENG),185,"Washington, England",54.89743199999999,-1.517366
England,2,Defender,WALKER Kyle,Kyle Andrew,WALKER,WALKER,28/05/1990,Manchester City FC (ENG),178,"Sheffield, England",53.38112899999999,-1.470085
England,3,Defender,SHAW Luke,Luke Paul,SHAW,SHAW,12/7/1995,Manchester United FC (ENG),185,"Kingston upon Thames, England",51.41233,-0.300689
England,4,Midfielder,RICE Declan,Declan,RICE,RICE,14/01/1999,West Ham United FC (ENG),185,"Kingston upon Thames, England",51.41233,-0.300689
England,5,Defender,STONES John,John,STONES,STONES,28/05/1994,Manchester City FC (ENG),188,"Barnsley, England",53.55263,-1.479726
England,6,Defender,MAGUIRE Harry,Harry Jacob,MAGUIRE,MAGUIRE,5/3/1993,Manchester United FC (ENG),193,"Sheffield, England",53.38112899999999,-1.470085
England,7,Forward,GREALISH Jack,Jack Peter,GREALISH,GREALISH,10/9/1995,Manchester City FC (ENG),175,"Birmingham, England",52.48624299999999,-1.890401
England,8,Midfielder,HENDERSON Jordan,Jordan Brian,HENDERSON,HENDERSON,17/06/1990,Liverpool FC (ENG),183,"Sunderland, England",54.906869,-1.383801
England,9,Forward,KANE Harry,Harry Edward,KANE,KANE,28/07/1993,Tottenham Hotspur FC (ENG),188,"Walthamstow, England",51.5901769,-0.0173437
England,10,Forward,STERLING Raheem,Raheem,STERLING,STERLING,8/12/1994,Chelsea FC (ENG),170,"Kingston, Jamaica",18.0178743,-76.8099041
England,11,Forward,RASHFORD Marcus,Marcus,RASHFORD,RASHFORD,31/10/1997,Manchester United FC (ENG),180,"Manchester, England",53.4807593,-2.2426305
England,12,Defender,TRIPPIER Kieran,Kieran John,TRIPPIER,TRIPPIER,19/09/1990,Newcastle United FC (ENG),178,"Bury, England",53.5933498,-2.2966054
England,13,Goalkeeper,POPE Nick,Nicholas David,POPE,POPE,19/04/1992,Newcastle United FC (ENG),191,"Soham, England",52.335212,0.3375079
England,14,Midfielder,PHILLIPS Kalvin,Kalvin Mark,PHILLIPS,PHILLIPS,2/12/1995,Manchester City FC (ENG),178,"Leeds, England",53.8007554,-1.5490774
England,15,Defender,DIER Eric,Eric Jeremy Edgar,DIER,DIER,15/01/1994,Tottenham Hotspur FC (ENG),188,"Cheltenham, England",51.8993855,-2.0782533
England,16,Defender,COADY Conor,Conor David,COADY,COADY,25/02/1993,Everton FC (ENG),184,"St Helens, England",53.456307,-2.737095
England,17,Forward,SAKA Bukayo,Bukayo Ayoyinka,SAKA,SAKA,5/9/2001,Arsenal FC (ENG),178,"Ealing, England",51.5132537,-0.3043136
England,18,Defender,ALEXANDER-ARNOLD Trent,Trent John,ALEXANDER-ARNOLD,ALEXANDER-ARNOLD,7/10/1998,Liverpool FC (ENG),175,"Liverpool, England",53.4083714,-2.9915726
England,19,Midfielder,MOUNT Mason,Mason Tony,MOUNT,MOUNT,10/1/1999,Chelsea FC (ENG),180,"Portsmouth, England",50.8197675,-1.0879769
England,20,Midfielder,FODEN Phil,Philip Walter,FODEN,FODEN,28/05/2000,Manchester City FC (ENG),180,"Stockport, England",53.41063159999999,-2.1575332
England,21,Defender,WHITE Ben,Benjamin William,WHITE,WHITE,8/10/1997,Arsenal FC (ENG),186,"Poole, England",50.71505,-1.987248
England,22,Midfielder,BELLINGHAM Jude,Jude Victor William,BELLINGHAM,BELLINGHAM,29/06/2003,Borussia Dortmund (GER),186,"Stourbridge, England",52.456891,-2.148731
England,23,Goalkeeper,RAMSDALE Aaron,Aaron Christopher,RAMSDALE,RAMSDALE,14/05/1998,Arsenal FC (ENG),188,"Stoke-on-Trent, England",53.0033369,-2.1827408
England,24,Forward,WILSON Callum,Callum Eddie Graham,WILSON,WILSON,27/02/1992,Newcastle United FC (ENG),180,"Coventry, England",52.4128163,-1.5089521
England,25,Midfielder,MADDISON James,James,MADDISON,MADDISON,23/11/1996,Leicester City FC (ENG),175,"Coventry, England",52.4128163,-1.5089521
England,26,Midfielder,GALLAGHER Conor,Conor John,GALLAGHER,GALLAGHER,6/2/2000,Chelsea FC (ENG),183,"Epsom, England",51.33510039999999,-0.2637125
France,1,Goalkeeper,LLORIS Hugo,Hugo Hadrien Dominique,LLORIS,LLORIS,26/12/1986,Tottenham Hotspur FC (ENG),188,"Nice, France",43.7101728,7.261953200000001
France,2,Defender,PAVARD Benjamin,Benjamin Jaques Marcel,PAVARD,PAVARD,28/03/1996,FC Bayern München (GER),186,"Maubeuge, France",50.280228,3.9674
France,3,Defender,DISASI Axel,Axel Wilson Arthur,DISASI MHAKINIS BELHO,DISASI,11/3/1998,AS Monaco (FRA),190,"Gonesse, France",48.9864632,2.4497721
France,4,Defender,VARANE Raphael,Raphaël Xavier,VARANE,VARANE,25/04/1993,Manchester United FC (ENG),191,"Lille, France",50.62925,3.057256
France,5,Defender,KOUNDE Jules,Jules Olivier,KOUNDE,KOUNDE,12/11/1998,FC Barcelona (ESP),178,"	Paris, France",48.856614,2.3522219
France,6,Midfielder,GUENDOUZI Matteo,Mattéo Elias Kenzo,GUENDOUZI OLIE,GUENDOUZI,14/04/1999,Olympique Marseille (FRA),184,"Poissy, France",48.929584,2.046982
France,7,Forward,GRIEZMANN Antoine,Antoine,GRIEZMANN,GRIEZMANN,21/03/1991,CA Atlético Madrid (ESP),173,"Mâcon, France",46.3068839,4.828730999999999
France,8,Midfielder,TCHOUAMENI Aurelien,Aurélien Djani,TCHOUAMENI,TCHOUAMENI,27/01/2000,Real Madrid CF (ESP),187,"Rouen, France",49.44323199999999,1.099971
